label,source,target
abdc-dacb,1bd,1ad
abdc-dacb,1bd,1bc
abdc-dcab,1bd,1ad
abdc-dcab,1bd,1bc
abdc-dcba,1bd,1bc
acbd-adcb,1bd,1cd
acbd-cdab,1bd,1ad
acbd-dabc,1bd,1ad
acbd-dacb,1bd,1ad
acbd-dacb,1bd,1cd
acbd-dcab,1bd,1ad
acbd-dcab,1bd,1cd
acbd-dcba,1bd,1cd
adcb-abdc,2bd,2bc
adcb-acbd,2bd,2cd
adcb-badc,2bd,2bc
adcb-bdac,2bd,2bc
adcb-bdca,2bd,2bc
adcb-cabd,2bd,2cd
adcb-cbad,2bd,2cd
adcb-cbda,2bd,2cd
badc-adcb,1bd,1bc
badc-dacb,1bd,1bc
badc-dcab,1bd,1bc
badc-dcba,1bd,1bc
bcda-cdab,1bd,1ba
bcda-dabc,1bd,1ba
bcda-dacb,1bd,1ba
bcda-dcab,1bd,1ba
bdac-adcb,1bd,1bc
bdac-cdab,1bd,1ba
bdac-dabc,1bd,1ba
bdac-dacb,1bd,1ba
bdac-dacb,1bd,1bc
bdac-dcab,1bd,1ba
bdac-dcab,1bd,1bc
bdac-dcba,1bd,1bc
bdca-adcb,1bd,1bc
bdca-cdab,1bd,1ba
bdca-dabc,1bd,1ba
bdca-dacb,1bd,1ba
bdca-dacb,1bd,1bc
bdca-dcab,1bd,1ba
bdca-dcab,1bd,1bc
bdca-dcba,1bd,1bc
cabd-adcb,1bd,1cd
cabd-cdab,1bd,1ad
cabd-dabc,1bd,1ad
cabd-dacb,1bd,1ad
cabd-dacb,1bd,1cd
cabd-dcab,1bd,1ad
cabd-dcab,1bd,1cd
cabd-dcba,1bd,1cd
cbad-adcb,1bd,1cd
cbad-dacb,1bd,1cd
cbad-dcab,1bd,1cd
cbad-dcba,1bd,1cd
cbda-adcb,1bd,1cd
cbda-cdab,1bd,1ba
cbda-dabc,1bd,1ba
cbda-dacb,1bd,1ba
cbda-dacb,1bd,1cd
cbda-dcab,1bd,1ba
cbda-dcab,1bd,1cd
cbda-dcba,1bd,1cd
cdab-abcd,2bd,2ad
cdab-abdc,2bd,2ad
cdab-acbd,2bd,2ad
cdab-bcda,2bd,2ba
cdab-bdac,2bd,2ba
cdab-bdca,2bd,2ba
cdab-cabd,2bd,2ad
cdab-cbda,2bd,2ba
dabc-abcd,2bd,2ad
dabc-abdc,2bd,2ad
dabc-acbd,2bd,2ad
dabc-bcda,2bd,2ba
dabc-bdac,2bd,2ba
dabc-bdca,2bd,2ba
dabc-cabd,2bd,2ad
dabc-cbda,2bd,2ba
dacb-abcd,2bd,2ad
dacb-abdc,2bd,2ad
dacb-abdc,2bd,2bc
dacb-acbd,2bd,2ad
dacb-acbd,2bd,2cd
dacb-badc,2bd,2bc
dacb-bcda,2bd,2ba
dacb-bdac,2bd,2ba
dacb-bdac,2bd,2bc
dacb-bdca,2bd,2ba
dacb-bdca,2bd,2bc
dacb-cabd,2bd,2ad
dacb-cabd,2bd,2cd
dacb-cbad,2bd,2cd
dacb-cbda,2bd,2ba
dacb-cbda,2bd,2cd
dcab-abcd,2bd,2ad
dcab-abdc,2bd,2ad
dcab-abdc,2bd,2bc
dcab-acbd,2bd,2ad
dcab-acbd,2bd,2cd
dcab-badc,2bd,2bc
dcab-bcda,2bd,2ba
dcab-bdac,2bd,2ba
dcab-bdac,2bd,2bc
dcab-bdca,2bd,2ba
dcab-bdca,2bd,2bc
dcab-cabd,2bd,2ad
dcab-cabd,2bd,2cd
dcab-cbad,2bd,2cd
dcab-cbda,2bd,2ba
dcab-cbda,2bd,2cd
dcba-abdc,2bd,2bc
dcba-acbd,2bd,2cd
dcba-badc,2bd,2bc
dcba-bdac,2bd,2bc
dcba-bdca,2bd,2bc
dcba-cabd,2bd,2cd
dcba-cbad,2bd,2cd
dcba-cbda,2bd,2cd
abcd-bcad,2ca,2ba
abcd-bcda,2ca,2ba
abcd-bdca,2ca,2ba
abcd-cabd,2ca,2cb
abcd-cadb,2ca,2cb
abcd-cdab,2ca,2cb
abcd-dbca,2ca,2ba
abcd-dcab,2ca,2cb
abdc-bcad,2ca,2ba
abdc-bcad,2ca,2cd
abdc-bcda,2ca,2ba
abdc-bdca,2ca,2ba
abdc-bdca,2ca,2da
abdc-cabd,2ca,2cb
abdc-cabd,2ca,2cd
abdc-cadb,2ca,2cb
abdc-cadb,2ca,2cd
abdc-cbad,2ca,2cd
abdc-cdab,2ca,2cb
abdc-dbca,2ca,2ba
abdc-dbca,2ca,2da
abdc-dcab,2ca,2cb
abdc-dcab,2ca,2da
abdc-dcba,2ca,2da
adbc-bcad,2ca,2ba
adbc-bcad,2ca,2cd
adbc-bcda,2ca,2ba
adbc-bdca,2ca,2ba
adbc-bdca,2ca,2da
adbc-cabd,2ca,2cb
adbc-cabd,2ca,2cd
adbc-cadb,2ca,2cb
adbc-cadb,2ca,2cd
adbc-cbad,2ca,2cd
adbc-cdab,2ca,2cb
adbc-dbca,2ca,2ba
adbc-dbca,2ca,2da
adbc-dcab,2ca,2cb
adbc-dcab,2ca,2da
adbc-dcba,2ca,2da
adcb-bcad,2ca,2cd
adcb-bdca,2ca,2da
adcb-cabd,2ca,2cd
adcb-cadb,2ca,2cd
adcb-cbad,2ca,2cd
adcb-dbca,2ca,2da
adcb-dcab,2ca,2da
adcb-dcba,2ca,2da
badc-bcad,2ca,2cd
badc-bdca,2ca,2da
badc-cabd,2ca,2cd
